pl_name,hostname,pl_orbper,pl_tranmid,pl_tranmiderr1
Kepler-314 b,Kepler-314,2.461069,2454966.31441,0.00341
Kepler-46 b,Kepler-46,33.60134,2455053.2826,0.0013
USco CTIO 108 b,USco CTIO 108,,,
Kepler-130 c,Kepler-130,27.50868,2455015.1039,
Kepler-418 b,Kepler-418,86.67856,2455008.5975,0.00066
Kepler-33 f,Kepler-33,41.02902,2455005.5763,0.004
Kepler-33 d,Kepler-33,21.77596,2455022.6342,0.0018
HD 155358 c,HD 155358,391.9,,
Kepler-52 b,Kepler-52,7.8773565,2455009.37692,0.0015
Kepler-58 b,Kepler-58,10.2184954,2454969.87048,0.0056
HD 183263 c,HD 183263,4667.97841,2457195.7,8.5
HD 187123 b,HD 187123,3.0965828,2455665.934,0.003
V0391 Peg b,V0391 Peg,1170.0,,
Kepler-62 e,Kepler-62,122.3874,2454983.404,0.003
HD 197037 b,HD 197037,1035.7,,
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,10037.5,,
Kepler-269 b,Kepler-269,5.326718,2455190.12204,0.00329
Kepler-300 c,Kepler-300,40.714955,2454979.56443,0.00343
Kepler-149 d,Kepler-149,160.018032,2455084.28348,0.00324
Kepler-124 d,Kepler-124,30.950851,2454986.83698,0.0061
Kepler-276 d,Kepler-276,48.648,2455005.12729,0.00066
Kepler-114 c,Kepler-114,8.041,2454976.038945,0.000794
Kepler-297 b,Kepler-297,38.871826,2455004.28713,0.00209
WASP-83 b,WASP-83,4.971252,2455928.8853,0.0004
WASP-89 b,WASP-89,3.3564227,2456207.02114,0.00012
Kepler-402 c,Kepler-402,6.124821,2454967.936,0.00285
Kepler-157 b,Kepler-157,1.732342,2454967.5302,0.00205
HATS-6 b,HATS-6,3.3252725,2456643.74058,8.4e-05
Kepler-450 c,Kepler-450,15.413135,2454969.94071,0.00115692
Kepler-81 c,Kepler-81,12.04,2455014.22266,0.00086004
Kepler-412 b,Kepler-412,1.7208604,2454966.02122,2e-05
Kepler-92 b,Kepler-92,13.749,2455012.27859,0.00046398
Kepler-288 c,Kepler-288,19.305772,2455206.19055,0.00328
Kepler-295 b,Kepler-295,12.645164,2454971.62536,0.00812
Kepler-178 d,Kepler-178,96.678988,2454973.17842,0.00387
Kepler-44 b,Kepler-44,3.2467293,2455187.1564,0.00021
Kepler-41 b,Kepler-41,1.8555582,2455187.280482,5.1e-05
Kepler-450 d,Kepler-450,7.51464,2454969.17528,0.00077472
POTS-1 b,POTS-1,3.1606296,2454231.65488,0.00044
Kepler-350 d,Kepler-350,26.136,2454964.61923,0.00320297
Kepler-238 f,Kepler-238,50.447,2455011.49203,0.00539973
Kepler-287 c,Kepler-287,44.851896,2455005.463,0.00325
Kepler-285 b,Kepler-285,2.633867,2454967.56281,0.00251
Kepler-181 b,Kepler-181,3.137873,2454966.55562,0.0024
Kepler-1398 c,Kepler-1398,4.13827595,2454966.22851,0.00538
RR Cae b,RR Cae,4343.5,,
WASP-24 b,WASP-24,2.34121,2455402.12744,0.00015
WASP-21 b,WASP-21,4.322482,2454743.0419,0.0019
LHS 3844 b,LHS 3844,0.46292913,2458325.72558,0.00025
TOI-237 b,TOI-237,5.436098,2458697.7197997,0.000796
K2-237 b,K2-237,2.18053332,2457706.61618,3e-05
Kepler-284 b,Kepler-284,12.699149,2455017.98515,0.00361
Kepler-654 b,Kepler-654,13.72465129,2455013.64638,0.00264
Kepler-199 c,Kepler-199,67.093408,2454979.56577,0.00167
Kepler-214 b,Kepler-214,15.660544,2454979.34895,0.00277
Kepler-87 b,Kepler-87,114.73635,2454998.150671,0.000977
Kepler-75 b,Kepler-75,8.8849116,2455640.4403,0.00012
Kepler-74 b,Kepler-74,7.340711,2455187.56737,0.00014
Kepler-145 c,Kepler-145,42.882,2455036.6478,0.00097387
Kepler-328 b,Kepler-328,34.921,2454990.6317,0.0211
Kepler-115 c,Kepler-115,8.990889,2454969.73792,0.00132
Kepler-341 c,Kepler-341,8.01041,2454968.31534,0.00366
Kepler-225 b,Kepler-225,6.738975,2454968.27658,0.0036
Kepler-871 b,Kepler-871,22.0459018,2454969.47832,0.00442
Kepler-56 c,Kepler-56,21.40239,2454978.656,0.0057
XO-5 b,XO-5,4.1877558,2456864.3129,0.0002
Kepler-447 b,Kepler-447,7.79430132,2454970.259778,
Kepler-216 b,Kepler-216,7.693641,2455009.50106,0.00237
Kepler-259 c,Kepler-259,36.924931,2455007.22336,0.00267
Kepler-293 b,Kepler-293,19.254196,2454997.78133,0.00245
Kepler-291 b,Kepler-291,3.546511,2454967.90112,0.00274
Kepler-242 c,Kepler-242,14.496481,2454976.41348,0.00346
Kepler-240 b,Kepler-240,4.144495,2454968.92658,0.00337
Kepler-56 b,Kepler-56,10.5016,2454978.2556,0.0056
WASP-16 b,WASP-16,3.1186,2456355.79653,0.00013
WASP-17 b,WASP-17,3.73543,2454592.80154,5e-05
WASP-18 b,WASP-18,0.94145223,2456740.8056,0.00019
HAT-P-54 b,HAT-P-54,3.799847,2456299.3037,0.00024
TrES-5 b,TrES-5,1.48224686,2456458.59219,9e-05
Kepler-148 c,Kepler-148,4.180043,2455006.71928,0.00054
Kepler-179 b,Kepler-179,2.735926,2455004.09382,0.00156
Kepler-303 b,Kepler-303,1.937055,2454967.71867,0.00124
Kepler-260 b,Kepler-260,8.187399,2455093.86771,0.00136
Kepler-226 b,Kepler-226,3.940997,2454969.09337,0.00284
WASP-19 b,WASP-19,0.78883852,2456402.7128,0.0017
WASP-26 b,WASP-26,2.7566,2456548.80037,0.00022
WASP-29 b,WASP-29,3.92273,2457866.07613,0.00011
WASP-33 b,WASP-33,1.21987,2459883.198788,0.00020759
HATS-14 b,HATS-14,2.7667641,2456408.76462,0.00021
HD 95086 b,HD 95086,,,
Kepler-165 c,Kepler-165,15.31299,2455004.79196,0.00192
Kepler-197 d,Kepler-197,15.677563,2455012.46886,0.00328
Kepler-125 b,Kepler-125,4.164389,2455004.08676,0.00037
Kepler-306 c,Kepler-306,7.240193,2455188.01328,0.00219
KOI-351 e,KOI-351,91.93913,2454967.3127,0.0063
KOI-351 c,KOI-351,8.719375,2454972.5687,0.0023
Kepler-222 c,Kepler-222,10.08881,2455006.08263,0.00061
Kepler-184 d,Kepler-184,29.022358,2455031.3679,0.00309
Kepler-309 b,Kepler-309,5.923653,2454967.68239,0.00245
Kepler-696 b,Kepler-696,4.190425575,2455004.441249,0.000311
Kepler-11 f,Kepler-11,46.6888,2455618.271,0.0041
Kepler-11 e,Kepler-11,31.9996,2455595.0755,0.0015
Kepler-11 g,Kepler-11,118.3807,2455593.8021,0.003
Kepler-166 c,Kepler-166,34.260281,2455016.22653,0.00208
Kepler-275 b,Kepler-275,10.300682,2454975.73999,0.01185
Kepler-1298 b,Kepler-1298,7.12811928,2454969.88305,0.00548
Kepler-11 c,Kepler-11,13.0241,2455583.3494,0.0014
WASP-57 b,WASP-57,2.83891856,2456058.5491,0.00016
HAT-P-50 b,HAT-P-50,3.1220109,2456285.90993,0.00036
MOA-2008-BLG-379L b,MOA-2008-BLG-379L,,,
HD 13908 b,HD 13908,19.382,,
Kepler-108 b,Kepler-108,49.183921,2454974.91123,0.00066
Kepler-264 b,Kepler-264,40.806231,2454988.71209,0.0079
Kepler-279 b,Kepler-279,12.309681,2454970.68644,0.00246
Kepler-286 c,Kepler-286,3.468095,2454969.00318,0.00392
GJ 667 C c,GJ 667 C,28.14,,
HD 13908 c,HD 13908,931.0,,
HD 159243 b,HD 159243,12.62,,
Kepler-261 b,Kepler-261,10.381227,2455101.02361,0.00075
HIP 57274 c,HIP 57274,32.03,2455793.035,0.176
Kepler-292 d,Kepler-292,7.055679,2455014.90973,0.00369
GJ 667 C f,GJ 667 C,39.026,,
HD 73526 c,HD 73526,379.1,,
HD 106906 b,HD 106906,,,
Kepler-119 b,Kepler-119,2.422082,2454965.93928,0.00019
HD 220074 b,HD 220074,672.09998,,
Kepler-297 c,Kepler-297,74.920137,2454958.0377,0.00098
Kepler-343 b,Kepler-343,8.96855,2454972.38991,0.00308
Kepler-282 d,Kepler-282,24.806,2454978.07495,0.00264
Kepler-158 b,Kepler-158,16.709184,2455007.75561,0.00193
Kepler-273 b,Kepler-273,2.936532,2454968.71482,0.00188
Kepler-677 b,Kepler-677,6.57531678,2455006.634296,0.000446
Kepler-306 b,Kepler-306,4.646186,2455187.59058,0.00257
Kepler-267 d,Kepler-267,28.464515,2454991.04035,0.00334
DP Leo b,DP Leo,10220.0,,
HAT-P-19 b,HAT-P-19,4.00878322,2456610.863945,7.1e-05
HAT-P-34 b,HAT-P-34,5.452654,2455431.59706,0.00055
WASP-11 b,WASP-11,3.72247,2456933.615316,5e-05
WASP-37 b,WASP-37,3.577469,2455338.6188,0.0006
WASP-90 b,WASP-90,3.916243,2456235.5639,0.0005
K2-26 b,K2-26,14.5665,2456775.1659,0.0028
Kepler-276 c,Kepler-276,31.884,2454993.207926,4.8e-05
Kepler-305 b,Kepler-305,5.487,2455189.0773,0.00145
Kepler-266 b,Kepler-266,6.61833,2455193.3696,0.00323
Kepler-121 c,Kepler-121,41.008011,2454980.03476,0.00265
Kepler-338 d,Kepler-338,44.431014,2454976.54198,0.0048
2MASS J01225093-2439505 b,2MASS J01225093-2439505,,,
WASP-52 b,WASP-52,1.7497798,2455793.68143,9e-05
WASP-72 b,WASP-72,2.21673,2458789.06301,0.00017
WASP-75 b,WASP-75,2.484193,2456016.2669,0.0003
WASP-135 b,WASP-135,1.4013794,2455230.9902,0.0009
HD 222237 b,HD 222237,14892.0,,
Kepler-126 d,Kepler-126,100.283134,2455078.04434,0.00131
Kepler-381 c,Kepler-381,13.391635,2454966.05506,0.00424
Kepler-249 d,Kepler-249,15.368459,2454980.38889,0.00254
Kepler-254 d,Kepler-254,18.746477,2454980.12909,0.00384
SPECULOOS-3 b,SPECULOOS-3,0.71912603,2459790.58344,0.00032
Kepler-363 d,Kepler-363,11.932125,2454975.10532,0.00443
Kepler-366 b,Kepler-366,3.281959,2454965.41897,0.0037
Kepler-141 b,Kepler-141,3.107675,2454965.63058,0.00374
Kepler-142 d,Kepler-142,41.809118,2454981.69926,0.00831
Kepler-400 b,Kepler-400,9.024389,2454966.53848,0.00239
Kepler-204 c,Kepler-204,25.660593,2454988.15165,0.00679
WASP-41 c,WASP-41,421.0,,
Kepler-312 c,Kepler-312,19.747412,2454980.1036,0.00191
Kepler-286 d,Kepler-286,5.914323,2454966.48698,0.00524
Kepler-91 b,Kepler-91,6.24658,2454969.3958,0.0002
HAT-P-14 b,HAT-P-14,4.62767,2457304.81275,0.00015
HR 8799 b,HR 8799,170000.0,,
HR 8799 c,HR 8799,69000.0,,
HR 8799 d,HR 8799,37000.0,,
HR 8799 e,HR 8799,20815.6,,
HD 176986 b,HD 176986,6.49164,2460624.06,0.17
HD 176986 c,HD 176986,16.8124,2460614.69,0.32
TOI-4495 c,TOI-4495,5.18553,2458687.8395,0.0012
TOI-4495 b,TOI-4495,2.56699,2458685.7738,0.0017
TOI-6692 b,TOI-6692,131.125,2459378.4174,0.0022
KMT-2025-BLG-1616L b,KMT-2025-BLG-1616L,,,
HD 176986 d,HD 176986,61.376,2460614.69,3.0
Kepler-354 b,Kepler-354,5.47666,2454968.70204,0.00241
Kepler-368 b,Kepler-368,26.84768,2454975.16776,0.00668
Kepler-135 b,Kepler-135,6.00253,2455004.71611,0.00144
Kepler-383 b,Kepler-383,12.904532,2454977.31985,0.00557
HAT-P-66 b,HAT-P-66,2.972086,2457258.79907,0.00072
WASP-118 b,WASP-118,4.0460435,2456787.81423,0.00062
WASP-7 b,WASP-7,4.9546416,2455446.63493,0.0003
XO-4 b,XO-4,4.12508,2456878.47303,0.00023
KELT-2 A b,KELT-2 A,4.11379,2459467.198989,8e-05
K2-30 b,K2-30,4.098503,2457063.80714,0.0001
